年度,月份,總計,年齡0-4歲人數,年齡5-9歲人數,年齡10-14歲人數,年齡15-19歲人數,年齡20-24歲人數,年齡25-29歲人數,年齡30-34歲人數,年齡35-39歲人數,年齡40-44歲人數,年齡45-49歲人數,年齡50-54歲人數,年齡55-59歲人數,年齡60-64歲人數,年齡65-69歲人數,年齡70-74歲人數,年齡75-79歲人數,年齡80-84歲人數,年齡85-89歲人數,年齡90-94歲人數,年齡95-99歲人數,年齡100歲人數以上
99,1,13622,587,609,651,755,830,1108,1197,1050,1102,1040,937,814,538,499,550,595,432,216,83,26,3
99,2,13665,580,609,658,752,837,1107,1193,1056,1112,1049,947,816,540,501,547,598,438,212,83,26,4
99,3,13655,586,605,643,758,830,1100,1201,1051,1108,1060,945,814,548,494,552,592,438,217,83,26,4
99,4,13644,580,613,628,760,830,1103,1196,1059,1099,1060,948,818,554,489,550,587,442,219,80,25,4
99,5,13663,579,624,623,757,837,1097,1203,1059,1101,1052,959,821,556,487,547,584,449,218,81,25,4
99,6,13633,580,619,616,755,840,1080,1206,1062,1084,1060,959,826,555,481,544,589,449,215,83,26,4
99,7,13663,572,628,620,764,825,1099,1208,1068,1088,1057,959,826,556,477,550,585,451,218,83,25,4
99,8,13668,563,621,633,773,822,1089,1220,1070,1082,1063,956,825,561,473,546,585,455,221,79,26,5
99,9,13658,559,627,638,779,824,1074,1208,1085,1080,1072,938,817,571,462,554,578,459,221,81,26,5
99,10,13657,563,628,637,774,824,1069,1221,1080,1076,1054,950,810,584,462,551,576,462,223,83,25,5
99,11,13647,553,621,636,764,830,1070,1227,1075,1076,1057,946,810,595,456,545,581,465,225,86,24,5
99,12,13660,559,604,640,770,831,1066,1232,1066,1086,1060,954,797,601,468,539,579,466,229,86,23,4
100,1,13658,556,600,639,773,822,1069,1234,1073,1076,1072,957,801,605,458,543,570,472,226,85,24,3
100,2,13652,553,591,640,775,828,1061,1231,1062,1087,1076,960,803,607,456,546,563,475,226,85,24,3
100,3,13635,557,579,642,783,825,1055,1216,1065,1085,1088,956,803,617,452,536,567,473,223,87,24,2
100,4,13579,548,565,633,782,825,1048,1211,1063,1078,1087,960,796,626,452,530,569,469,225,86,24,2
100,5,13575,545,573,624,786,823,1046,1207,1070,1076,1084,964,800,624,453,529,562,467,230,87,23,2
100,6,13608,548,570,626,796,822,1053,1194,1080,1076,1090,971,809,624,459,522,554,469,230,90,23,2
100,7,13639,546,570,638,793,827,1042,1195,1080,1081,1086,974,821,632,464,515,557,469,233,91,23,2
100,8,13646,540,566,646,797,833,1032,1198,1078,1069,1095,970,828,634,466,518,549,474,234,93,24,2
100,9,13672,536,563,657,802,841,1022,1200,1090,1070,1093,972,833,639,459,509,548,484,234,92,26,2
100,10,13698,536,566,649,799,850,1024,1207,1092,1071,1100,972,834,634,471,508,541,494,231,90,27,2
100,11,13712,540,575,634,803,861,1019,1203,1093,1069,1093,990,825,644,475,504,533,496,235,92,26,2
100,12,13699,537,571,629,801,870,1015,1185,1103,1067,1091,995,822,640,483,502,531,497,235,97,25,3
101,1,13698,541,565,622,796,871,1005,1191,1100,1068,1091,1004,822,652,483,501,521,504,237,96,25,3
101,2,13691,542,563,610,800,872,1013,1185,1095,1066,1090,1012,829,652,478,505,516,504,237,95,23,4
101,3,13752,551,558,607,801,883,1019,1188,1103,1072,1096,1026,833,658,469,504,516,506,240,97,21,4
101,4,13774,560,554,600,808,891,1007,1182,1117,1070,1102,1031,829,669,464,500,520,501,245,97,23,4
101,5,13767,551,567,581,806,900,1010,1183,1117,1063,1100,1042,828,671,462,492,522,507,241,98,22,4
101,6,13797,553,568,583,811,907,1005,1182,1114,1063,1111,1043,840,675,462,488,520,502,244,100,22,4
101,7,13819,556,561,582,815,903,1012,1191,1118,1060,1115,1049,834,683,458,492,523,501,241,99,21,5
101,8,13838,556,553,581,817,911,1003,1195,1123,1065,1117,1055,832,695,458,489,516,501,246,99,21,5
101,9,13858,556,542,598,821,907,995,1202,1103,1075,1133,1047,848,701,455,480,513,505,251,100,21,5
